PODER;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;ENTIDAD;RUC
Poder Ejecutivo;Salud;LIMA;LIMA;INDEPENDENCIA;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE ;20602217508
Poder Ejecutivo;Salud;LIMA;LIMA;BARRANCO;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR ;20602251641
Poder Ejecutivo;Salud;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;DIRECCION DE SALUD APURIMAC II ;20199917928
Poder Ejecutivo;Salud;LIMA;LIMA;BARRANCO;DIRECCION DE SALUD II LIMA SUR ;20177030563
Poder Ejecutivo;Salud;LIMA;LIMA;EL AGUSTINO;DIRECCION DE SALUD IV LIMA ESTE ;20147966904
Poder Ejecutivo;Salud;NULL;LIMA;LA VICTORIA;DIRECCION DE SALUD V - LIMA ;No identificado
Poder Ejecutivo;Salud;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;DIRECCION RED DE SALUD - SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO ;20507992715
Poder Ejecutivo;Salud;PIURA;MORROPON;CHULUCANAS;E.S. II-1 HOSPITAL DE CHULUCANAS ;No identificado
Poder Ejecutivo;Salud;LIMA;LIMA;SAN MIGUEL;FONDO INTANGIBLE SOLIDARIO DE SALUD ;20546736718
Poder Ejecutivo;Salud;LIMA;BARRANCA;BARRANCA;HOSPITAL BARRANCA CAJATAMBO Y SBS ;No identificado
Poder Ejecutivo;Salud;LIMA;LIMA;PUENTE PIEDRA;HOSPITAL CARLOS LANFRANCO LA HOZ ;20203531550
Poder Ejecutivo;Salud;LIMA;LIMA;SAN MARTIN DE PORRES;HOSPITAL CAYETANO HEREDIA ;20154528971
Poder Ejecutivo;Salud;LIMA;LIMA;ATE;HOSPITAL DE BAJA COMPLEJIDAD VITARTE ;20512338756
Poder Ejecutivo;Salud;LIMA;HUARAL;CHANCAY;HOSPITAL DE CHANCAY ;20284684827
Poder Ejecutivo;Salud;LIMA;LIMA;MIRAFLORES;HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA ;20138100015
Poder Ejecutivo;Salud;LIMA;LIMA;LA VICTORIA;HOSPITAL DE EMERGENCIAS PEDIATRICAS ;20139776403
Poder Ejecutivo;Salud;LIMA;LIMA;VILLA EL SALVADOR;HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR ;20601224624
Poder Ejecutivo;Salud;PIURA;PIURA;PIURA;HOSPITAL DE LA AMISTAD PERU-COREA II-2 SANTA ROSA ;20525832334
Poder Ejecutivo;Salud;CUSCO;CUSCO;CUSCO;HOSPITAL DE SICUANI - CUSCO ;No identificado
Poder Ejecutivo;Salud;LIMA;LIMA;ATE;HOSPITAL EMERGENCIA ATE VITARTE ;20606049278
Poder Ejecutivo;Salud;CAJAMARCA;JAEN;JAEN;HOSPITAL GENERAL DE JAEN ;20230089630
Poder Ejecutivo;Salud;LIMA;LIMA;SANTA ANITA;HOSPITAL HERMILIO VALDIZAN ;20172155317
Poder Ejecutivo;Salud;LIMA;HUARAL;HUARAL;HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD ;No identificado
Poder Ejecutivo;Salud;LIMA;LIMA;LURIGANCHO;HOSPITAL JOSE AGURTO TELLO DE CHOSICA ;20507151320
